user_id,flagged
user_1,0
user_2,0
user_3,0
user_4,0
user_5,1
user_6,0
user_7,0
user_8,1
user_9,0
user_10,0
user_11,1
user_12,0
user_13,1
user_14,0
user_15,0
user_16,0
user_17,0
user_18,0
user_19,0
user_20,0
user_21,1
user_22,0
user_23,0
user_24,0
user_25,0
user_26,1
user_27,0
user_28,0
user_29,0
user_30,0
user_31,0
user_32,1
user_33,0
user_34,0
user_35,1
user_36,0
user_37,0
user_38,0
user_39,0
user_40,0
user_41,0
user_42,0
user_43,1
user_44,0
user_45,0
user_46,1
user_47,0
user_48,0
user_49,0
user_50,1
user_51,1
user_52,1
user_53,0
user_54,1
user_55,0
user_56,0
user_57,0
user_58,0
user_59,1
user_60,0
user_61,0
user_62,1
user_63,0
user_64,0
user_65,0
user_66,0
user_67,0
user_68,0
user_69,0
user_70,1
user_71,0
user_72,1
user_73,0
user_74,0
user_75,0
user_76,0
user_77,0
user_78,0
user_79,1
user_80,0
user_81,0
user_82,1
user_83,0
user_84,0
user_85,0
user_86,0
user_87,0
user_88,0
user_89,1
user_90,0
user_91,0
user_92,1
user_93,1
user_94,1
user_95,1
user_96,0
user_97,0
user_98,0
user_99,0
user_100,1
user_101,0
user_102,1
user_103,0
user_104,0
user_105,0
user_106,0
user_107,0
user_108,0
user_109,1
user_110,0
user_111,0
user_112,0
user_113,0
user_114,0
user_115,0
user_116,1
user_117,1
user_118,0
user_119,0
user_120,0
user_121,0
user_122,0
user_123,1
user_124,0
user_125,0
user_126,1
user_127,0
user_128,1
user_129,0
user_130,0
user_131,0
user_132,0
user_133,0
user_134,0
user_135,0
user_136,0
user_137,0
user_138,0
user_139,0
user_140,1
user_141,0
user_142,1
user_143,0
user_144,0
user_145,0
user_146,0
user_147,1
user_148,0
user_149,1
user_150,0
